GRILLED CHEESE,50
BLUEBERRY LY,100
DARK MOCHA,115
WHITE MOCHA,115
GRILLED CHEESE,50
CAPPUCCINO,100
ICED AMERICANO,75
STRAWBERRY LY,100
ICED AMERICANO,75
STRAWBERRY LY,100
WHITE MOCHA,115
GRILLED CHEESE,50
BLUEBERRY LY,100
DARK MOCHA,115
GRILLED CHEESE,50
DARK MOCHA,115
MATCHA LATTE,120
STRAWBERRY LY,100
HAM AND CHEESE ,120
DARK MOCHA,115
WHITE MOCHA,115
GRILLED CHEESE,50
GRILLED CHEESE,50
BLUEBERRY LY,100
DARK MOCHA,115
GRILLED CHEESE,50
BLUEBERRY LY,100
ICED AMERICANO,75
STRAWBERRY LY,100
WHITE MOCHA,115
GRILLED CHEESE,50
BLUEBERRY LY,100
DARK MOCHA,115
CAPPUCCINO,100
ICED AMERICANO,75
STRAWBERRY LY,100
WHITE MOCHA,115
ICED AMERICANO,75
STRAWBERRY LY,100
PASSIONFRUIT LY ,100
MACHIATTO,110
STRAWBERRY LY,100
CAPUCCINO,100
ICED AMERICANO,75
STRAWBERRY LY,100
BLUEBERRY LY,100
GRILLED CHEESE,115
MATCHA LATTE,120
STRAWBERRY LY,100
HAM AND CHEESE ,120
DARK MOCHA,115
WHITE MOCHA,115
GRILLED CHEESE,50
BLUEBERRY LY,100
DARK MOCHA,115
MATCHA LATTE,120
CAPPUCCINO,100
STRAWBERRY LY,100
BLUEBERRY LY,100
DARK MOCHA,115
MATCHA LATTE,120
STRAWBERRY LY,100
HAM AND CHEESE ,120
DARK MOCHA,115
STRAWBERRY LY,100
HAM AND CHEESE ,120
DARK MOCHA,115
WHITE MOCHA,115
GRILLED CHEESE,50
DARK MOCHA,115
WHITE MOCHA,115
GRILLED CHEESE,50
CAPPUCCINO,100
ICED AMERICANO,75
STRAWBERRY LY,100
WHITE MOCHA,115
BLUEBERRY LY,100
DARK MOCHA,115
MATCHA LATTE,120
STRAWBERRY LY,100
HAM AND CHEESE ,120
DARK MOCHA,115
STRAWBERRY LY,100
DARK MOCHA,115
CAPPUCCINO,100
ICED AMERICANO,75
STRAWBERRY LY,100
WHITE MOCHA,115
ICED AMERICANO,75
STRAWBERRY LY,100
PASSIONFRUIT LY ,100
MACHIATTO,110
STRAWBERRY LY,100
MATCHA LATTE,120
LATTE,100
GRILLED CHEESE,50
MATCHA LATTE,120
STRAWBERRY LY,100
HAM AND CHEESE ,120
DARK MOCHA,115
WHITE MOCHA,115
GRILLED CHEESE,50
BLUEBERRY LY,100
DARK MOCHA,115
MATCHA LATTE,120
CAPPUCCINO,100
STRAWBERRY LY,100
BLUEBERRY LY,100
DARK MOCHA,115
MATCHA LATTE,120
STRAWBERRY LY,100
HAM AND CHEESE ,120
DARK MOCHA,115
STRAWBERRY LY,100
HAM AND CHEESE ,120
DARK MOCHA,115
WHITE MOCHA,115
GRILLED CHEESE,50
DARK MOCHA,115
WHITE MOCHA,115
GRILLED CHEESE,50
CAPPUCCINO,100
ICED AMERICANO,75
STRAWBERRY LY,100
WHITE MOCHA,115
GRILLED CHEESE,50
BLUEBERRY LY,100
DARK MOCHA,115
WHITE MOCHA,115
GRILLED CHEESE,50
CAPPUCCINO,100
ICED AMERICANO,75
STRAWBERRY LY,100
WHITE MOCHA,115
GRILLED CHEESE,50
BLUEBERRY LY,100
DARK MOCHA,115
GRILLED CHEESE,50
DARK MOCHA,115
MATCHA LATTE,120
